cx,cy,cz,nx,ny,nz,valid_frac,score,periodic_cover,periodic_period_mm,periodic_straightness,band_score
-22.25223,57.0564,-6.35475,-0.71398,0.00259,-0.70016,0.96685,0.0,0.0,nan,0.0,0.00417
-22.98753,57.01227,-5.07869,-0.91254,0.00015,-0.40899,0.97986,0.0,0.0,nan,0.0,0.00513
-23.41516,56.98549,-2.94726,-0.98664,-0.00636,-0.16281,0.99923,0.00367,0.01837,0.6,1.0,0.01
-23.65863,57.00569,-0.98668,-0.99743,0.0223,-0.06805,0.99307,0.0,0.0,nan,0.0,0.00877
-23.69358,56.96362,1.01114,-0.99308,0.0505,0.10607,0.98433,0.0,0.0,nan,0.0,0.01944
-23.19991,56.91204,3.0157,-0.95532,0.0559,0.29023,0.989,0.11313,0.56563,0.7,1.0,0.02806
-22.49027,56.98027,4.91631,-0.87012,0.04359,0.49092,0.99099,0.05506,0.2753,0.7,1.0,0.00196
-22.3502,59.07668,-6.38818,-0.73418,-0.05289,-0.67689,0.97043,0.0,0.0,nan,0.0,0.00199
-22.9991,59.04175,-5.00665,-0.905,-0.04993,-0.42248,0.97728,0.0,0.0,nan,0.0,0.00922
-23.38679,58.99634,-3.05597,-0.98966,-0.0144,-0.14273,1.00002,0.0,0.0,nan,0.0,0.01186
-23.59047,59.0857,-1.02328,-0.99918,0.02456,-0.03219,0.99476,0.0,0.0,nan,0.0,0.01699
-23.53157,59.00922,1.00158,-0.98955,0.06114,0.1306,0.9883,0.06927,0.34636,0.7,1.0,0.02297
-23.02982,59.02449,3.04761,-0.96093,0.0531,0.27164,0.99248,0.82442,0.82442,0.7,0.50773,0.0325
-22.44573,58.95299,4.94963,-0.86033,0.03912,0.50823,0.97649,0.07682,0.38408,0.7,1.0,0.01149
-22.46196,61.04087,-6.55433,-0.70088,-0.01791,-0.71305,0.93021,0.0,0.0,nan,0.0,0.00489
-23.14762,61.0075,-5.06523,-0.9125,-0.06559,-0.40379,0.96894,0.0,0.0,nan,0.0,0.01207
-23.4606,61.02272,-3.01893,-0.9938,-0.04442,-0.10188,0.99923,0.05256,0.2628,0.7,1.0,0.01765
-23.56528,61.00045,-0.97755,-0.99981,0.01117,0.01588,0.99476,0.29655,0.39767,0.7,0.82947,0.01896
-23.40777,60.9952,0.97327,-0.98856,0.04084,0.1452,0.99198,0.05168,0.25842,0.6,1.0,0.02611
-22.91527,60.95937,3.04609,-0.96989,0.00898,0.2434,0.99555,0.41569,0.50883,0.7,0.8072,0.01852
-22.46769,60.98567,4.8556,-0.86036,0.00259,0.50968,0.97112,0.22393,0.22393,0.7,0.57761,0.0062
-22.57241,62.99252,-6.47891,-0.62799,0.02077,-0.77794,0.92366,0.0,0.0,nan,0.0,0.00381
-23.35522,62.95349,-4.99808,-0.90864,-0.04124,-0.41553,0.93756,0.0,0.0,nan,0.0,0.0041
-23.57068,63.0083,-3.00157,-0.99835,-0.02837,-0.04991,0.99883,0.18678,0.36249,0.7,0.90147,0.0199
-23.54244,63.01142,-1.02544,-0.99796,0.0176,0.06136,0.99853,0.51382,0.51382,0.6,0.47724,0.02599
-23.30217,63.02365,0.98812,-0.99132,0.02524,0.12905,0.99714,0.52573,0.52573,0.7,0.65782,0.01409
-23.01822,63.03682,3.0015,-0.97738,-0.00345,0.21147,0.99516,0.20318,0.20318,0.6,0.58199,0.02358
-22.53537,62.98765,4.89552,-0.81222,0.07085,0.57903,0.91392,0.00933,0.04667,0.6,1.0,0.01147
-22.5984,64.98848,-6.50879,-0.60624,-0.02974,-0.79473,0.91323,0.0,0.0,nan,0.0,0.00318
-23.44715,65.03285,-5.0622,-0.90464,-0.01708,-0.42584,0.93011,0.0,0.0,nan,0.0,0.005
-23.60173,65.03596,-3.03808,-0.99993,0.00617,-0.00997,0.99833,0.0,0.0,nan,0.0,0.00927
-23.45747,65.02778,-1.0129,-0.99607,0.0372,0.08039,0.99953,0.02689,0.13447,0.7,1.0,0.0097
-23.20775,65.00066,0.94639,-0.99251,0.0328,0.11768,1.00032,0.18901,0.28577,0.7,0.85581,0.00968
-23.02271,64.98468,2.95425,-0.97015,0.0494,0.23741,0.99069,0.0,0.0,nan,0.0,0.02001
-22.47943,64.94462,4.82982,-0.76172,0.10148,0.63991,0.91204,0.00072,0.00362,0.7,1.0,0.00445
-22.56557,67.03192,-6.48923,-0.56173,0.03292,-0.82667,0.92753,0.0,0.0,nan,0.0,0.00497
-23.49992,67.00978,-5.0701,-0.91081,-5e-05,-0.41282,0.92187,0.0,0.0,nan,0.0,0.01042
-23.52642,66.97294,-2.96934,-0.99918,0.02262,0.03366,1.00012,0.0,0.0,nan,0.0,0.01178
-23.36995,67.00861,-1.01087,-0.99319,0.064,0.09731,0.99982,0.0,0.0,nan,0.0,0.01095
-23.18724,67.0296,1.00023,-0.9908,0.07381,0.11342,1.00042,0.00223,0.01114,0.7,1.0,0.01159
-22.85443,67.02396,2.98808,-0.9395,0.09992,0.32765,0.98701,0.01154,0.05772,0.6,1.0,0.00256
-22.31371,66.9595,4.48458,-0.76997,0.14817,0.62064,0.95067,0.0,0.0,nan,0.0,0.00953
-22.56474,68.98759,-6.50763,-0.59838,-0.08124,-0.79708,0.94014,0.0,0.0,nan,0.0,0.00521
-23.49034,68.98517,-5.03019,-0.92432,0.00034,-0.38161,0.92654,0.0,0.0,nan,0.0,0.01007
-23.52431,68.99941,-3.02839,-0.99802,0.02097,0.05931,0.99814,0.0,0.0,nan,0.0,0.01468
-23.16238,68.99859,-0.96246,-0.98884,0.06077,0.13601,1.00062,0.0,0.0,nan,0.0,0.01767
-22.97985,68.98793,1.01488,-0.98865,0.08957,0.12062,1.00062,0.0,0.0,nan,0.0,0.01799
-22.72098,68.99033,3.02969,-0.9122,0.1254,0.39008,0.96348,0.00802,0.0401,0.51,1.0,0.00292
-22.2221,68.83374,4.2868,-0.74347,0.14799,0.65218,0.94471,0.0,0.0,nan,0.0,0.00969
-22.46358,71.04272,-6.50164,-0.66055,0.01227,-0.75068,0.94799,0.0,0.0,nan,0.0,0.00524
-23.39781,71.00289,-5.07174,-0.93271,0.01724,-0.36022,0.95315,0.0,0.0,nan,0.0,0.00576
-23.53471,71.00568,-2.97074,-0.99716,-0.0009,0.07528,0.99416,0.0,0.0,nan,0.0,0.0195
-23.0852,70.97662,-0.99912,-0.9855,0.0064,0.16956,1.00052,0.01907,0.09537,0.6,1.0,0.02225
-22.78721,71.0152,0.98732,-0.98562,0.04367,0.16324,0.99992,0.0364,0.18201,0.6,1.0,0.01594
-22.46556,70.95361,2.92146,-0.89793,0.1202,0.42341,0.96705,0.0,0.0,nan,0.0,0.0207
-22.03694,70.28677,4.08856,-0.75421,0.12658,0.64432,0.95136,0.0,0.0,nan,0.0,0.01379
-22.37011,73.1412,-6.2597,-0.59985,0.06531,-0.79744,0.94113,0.0,0.0,nan,0.0,0.00588
-23.45772,73.01482,-5.11718,-0.91239,0.02577,-0.40851,0.93488,0.0,0.0,nan,0.0,0.00625
-23.55263,73.02251,-3.03374,-0.99874,0.00056,0.05027,0.99744,0.0,0.0,nan,0.0,0.03208
-23.14507,73.02146,-0.99115,-0.98444,-0.0214,0.1744,1.00052,0.00508,0.0254,0.6,1.0,0.02562
-22.83941,72.98759,0.98633,-0.97129,0.01302,0.23752,0.99684,0.00147,0.00735,0.6,1.0,0.01281
-22.37353,72.92938,2.68568,-0.85959,0.1185,0.49705,0.96695,0.0,0.0,nan,0.0,0.00208
-22.55968,74.9843,-6.44122,-0.61078,0.019,-0.79157,0.9176,0.0,0.0,nan,0.0,0.00184
